i		j				x				y				z
3		29				0.41				-1.13				-1
3		30				0.6				-1.04				-1
3		31				0.771				-0.919				-1
3		32				0.919				-0.771				-1
3		33				1.04				-0.6				-1
3		34				1.13				-0.41				-1
3		35				1.18				-0.208				-1
3		36				1.2				2.1e-07				-1
4		0				1.2				0				1
4		1				1.18				0.208				1
4		2				1.13				0.41				1
4		3				1.04				0.6				1
4		4				0.919				0.771				1
4		5				0.771				0.919				1
4		6				0.6				1.04				1
4		7				0.41				1.13				1
4		8				0.208				1.18				1
4		9				-5.25e-08				1.2				1
4		10				-0.208				1.18				1
4		11				-0.41				1.13				1
4		12				-0.6				1.04				1
4		13				-0.771				0.919				1
4		14				-0.919				0.771				1
4		15				-1.04				0.6				1
4		16				-1.13				0.41				1
4		17				-1.18				0.208				1
4		18				-1.2				-1.05e-07				1
4		19				-1.18				-0.208				1
4		20				-1.13				-0.41				1
4		21				-1.04				-0.6				1
4		22				-0.919				-0.771				1
4		23				-0.771				-0.919				1
4		24				-0.6				-1.04				1
4		25				-0.41				-1.13				1
4		26				-0.208				-1.18				1
4		27				5.87e-07				-1.2				1
4		28				0.208				-1.18				1
4		29				0.41				-1.13				1
4		30				0.6				-1.04				1
4		31				0.771				-0.919				1
4		32				0.919				-0.771				1
4		33				1.04				-0.6				1
4		34				1.13				-0.41				1
4		35				1.18				-0.208				1
4		36				1.2				2.1e-07				1
4		0				1.2				0				0.5
4		1				1.18				0.208				0.5
4		2				1.13				0.41				0.5
4		3				1.04				0.6				0.5
4		4				0.919				0.771				0.5
4		5				0.771				0.919				0.5
4		6				0.6				1.04				0.5
4		7				0.41				1.13				0.5
4		8				0.208				1.18				0.5
4		9				-5.25e-08				1.2				0.5
4		10				-0.208				1.18				0.5
4		11				-0.41				1.13				0.5
4		12				-0.6				1.04				0.5
4		13				-0.771				0.919				0.5
4		14				-0.919				0.771				0.5
4		15				-1.04				0.6				0.5
4		16				-1.13				0.41				0.5
4		17				-1.18				0.208				0.5
4		18				-1.2				-1.05e-07				0.5
4		19				-1.18				-0.208				0.5
4		20				-1.13				-0.41				0.5
4		21				-1.04				-0.6				0.5
4		22				-0.919				-0.771				0.5
4		23				-0.771				-0.919				0.5
4		24				-0.6				-1.04				0.5
4		25				-0.41				-1.13				0.5
4		26				-0.208				-1.18				0.5
4		27				5.87e-07				-1.2				0.5
4		28				0.208				-1.18				0.5
4		29				0.41				-1.13				0.5
4		30				0.6				-1.04				0.5
4		31				0.771				-0.919				0.5
4		32				0.919				-0.771				0.5
4		33				1.04				-0.6				0.5
4		34				1.13				-0.41				0.5
4		35				1.18				-0.208				0.5
4		36				1.2				2.1e-07				0.5
4		0				1.2				0				0
4		1				1.18				0.208				0
4		2				1.13				0.41				0
4		3				1.04				0.6				0
4		4				0.919				0.771				0
4		5				0.771				0.919				0
4		6				0.6				1.04				0
4		7				0.41				1.13				0
4		8				0.208				1.18				0
4		9				-5.25e-08				1.2				0
4		10				-0.208				1.18				0
4		11				-0.41				1.13				0
4		12				-0.6				1.04				0
4		13				-0.771				0.919				0
4		14				-0.919				0.771				0
4		15				-1.04				0.6				0
4		16				-1.13				0.41				0
4		17				-1.18				0.208				0
4		18				-1.2				-1.05e-07				0
4		19				-1.18				-0.208				0
4		20				-1.13				-0.41				0
4		21				-1.04				-0.6				0
4		22				-0.919				-0.771				0
4		23				-0.771				-0.919				0
4		24				-0.6				-1.04				0
4		25				-0.41				-1.13				0
4		26				-0.208				-1.18				0
4		27				5.87e-07				-1.2				0
4		28				0.208				-1.18				0
4		29				0.41				-1.13				0
4		30				0.6				-1.04				0
4		31				0.771				-0.919				0
4		32				0.919				-0.771				0
4		33				1.04				-0.6				0
4		34				1.13				-0.41				0
4		35				1.18				-0.208				0
